Statistic	Information	Fischer	Normalization	AssumesUltrametrictree	Requiresbinarytree	Assumesrootedtree	Sensitivetorootposition	Reference
symmetry_nodes	Topology	Imbalance	Tips	NO	YES	YES	YES	Kersting&Fischer,2021
tot_coph	Topology	Imbalance	Yule	NO	YES	YES	YES	Miretal.,2013
tot_internal_path	Topology	Imbalance	None	NO	NO	YES	YES	Knuth,1997
tot_path	Topology	Imbalance	None	NO	YES	YES	YES	Colijn&Gardy,2014
tree_height	Branchingtimes	Noindex	None	NO	NO	YES	YES	
treeness	Topology+branchlengths	Noindex	None	NO	NO	NO	YES	Astolfi&Zonta-Sgaramella,1984
var_branch_length	Topology+branchlengths	Noindex	None	NO	NO	NO	YES	Saulnieretal.,2017
var_branch_length_ext	Topology+branchlengths	Noindex	None	NO	NO	NO	YES	Saulnieretal.,2017
var_branch_length_int	Topology+branchlengths	Noindex	None	NO	NO	NO	YES	Saulnieretal.,2017
var_depth	Topology	Imbalance	Yule	NO	NO	YES	YES	Coronadoetal.,2020
vpd	Topology+branchlengths	Noindex	None	NO	NO	NO	NO	Webbetal.,2002
wiener	Topology+branchlengths	Shape	None	NO	YES	NOYES	Chindelevitchetal.,2021
